id,repo,query_text,gt_categories,baseline_categories,reranked_balanced,reranked_semantic_lean,reranked_diversity_lexical
synthetic-sklearn_PR_33,kannan-dedsec/synthetic-sklearn,repo family: scikit-learn ; import statements count: 9 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 33 ; docstring markers count: 8 ; category hints: unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,"['documentation_formatting', 'indentation', 'unused_import']","['unused_import', 'unused_import', 'naming_convention', 'unused_import', 'documentation_formatting', 'naming_convention', 'unused_import']","['unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'naming_convention', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation']","['unused_import', 'documentation_formatting', 'indentation', 'naming_convention']"
synthetic-pandas_PR_24,kannan-dedsec/synthetic-pandas,"repo family: pandas ; import statements count: 2 ; camelCase identifiers: connectionString, filePath, loadCsv, loadExcel, loadJson, loadSql, sheetName ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['naming_convention'],"['naming_convention', 'naming_convention', 'documentation_formatting', 'naming_convention', 'naming_convention', 'unused_import', 'naming_convention']","['naming_convention', 'naming_convention', 'documentation_formatting', 'unused_import', 'documentation_formatting', 'indentation', 'indentation']","['naming_convention', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'unused_import', 'indentation']"
synthetic-flask_PR_31,kannan-dedsec/synthetic-flask,repo family: flask ; import statements count: 7 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 14 ; category hints: unused_import import cleanup dead import | documentation_formatting docstring summary style,['unused_import'],"['unused_import', 'unused_import', 'unused_import', 'unused_import', 'naming_convention', 'unused_import', 'unused_import']","['unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'naming_convention', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting']","['unused_import', 'documentation_formatting', 'naming_convention', 'indentation']"
synthetic-fastapi_PR_23,kannan-dedsec/synthetic-fastapi,repo family: fastapi ; import statements count: 9 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 67 ; docstring markers count: 12 ; category hints: unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,"['documentation_formatting', 'indentation', 'unused_import']","['unused_import', 'unused_import', 'unused_import', 'naming_convention', 'indentation', 'indentation', 'unused_import']","['unused_import', 'unused_import', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting']","['unused_import', 'indentation', 'documentation_formatting', 'naming_convention']"
synthetic-django_PR_28,kannan-dedsec/synthetic-django,repo family: django ; import statements count: 6 ; camelCase identifiers: none ; mutable-default patterns: 3 ; non-4-space indentation lines: 0 ; docstring markers count: 16 ; category hints: unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 29: Function 'validate_name' uses mutable default for argument 'value'. | Line 52: Function 'validate_title' uses mutable default for argument 'value'.,"['mutable_default', 'unused_import']","['mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default']","['mutable_default', 'mutable_default', 'unused_import', 'unused_import', 'naming_convention', 'naming_convention']","['mutable_default', 'mutable_default', 'mutable_default', 'unused_import', 'unused_import', 'unused_import', 'naming_convention']","['mutable_default', 'unused_import', 'naming_convention']"
synthetic-django_PR_26,kannan-dedsec/synthetic-django,repo family: django ; import statements count: 2 ; camelCase identifiers: getAbsoluteUrl ; mutable-default patterns: 0 ; non-4-space indentation lines: 40 ; docstring markers count: 8 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,"['documentation_formatting', 'indentation', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'indentation', 'indentation', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'indentation', 'indentation', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'indentation', 'indentation', 'unused_import']","['naming_convention', 'unused_import', 'indentation']"
synthetic-fastapi_PR_26,kannan-dedsec/synthetic-fastapi,"repo family: fastapi ; import statements count: 4 ; camelCase identifiers: forbiddenErrorHandler, notFoundErrorHandler, registerExceptionHandlers, validationErrorHandler ; mutable-default patterns: 0 ; non-4-space indentation lines: 45 ; docstring markers count: 16 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style","['documentation_formatting', 'indentation', 'naming_convention']","['naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'indentation']","['naming_convention', 'unused_import', 'naming_convention', 'unused_import', 'indentation', 'indentation', 'documentation_formatting']","['naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'indentation']","['naming_convention', 'unused_import', 'indentation', 'documentation_formatting']"
synthetic-pandas_PR_21,kannan-dedsec/synthetic-pandas,repo family: pandas ; import statements count: 5 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 8 ; category hints: unused_import import cleanup dead import | documentation_formatting docstring summary style,['unused_import'],"['unused_import', 'documentation_formatting', 'unused_import', 'indentation', 'indentation', 'unused_import', 'documentation_formatting']","['documentation_formatting', 'unused_import', 'unused_import', 'indentation', 'indentation', 'documentation_formatting', 'naming_convention']","['documentation_formatting', 'unused_import', 'unused_import', 'indentation', 'indentation', 'documentation_formatting', 'unused_import']","['documentation_formatting', 'unused_import', 'indentation', 'naming_convention']"
synthetic-fastapi_PR_24,kannan-dedsec/synthetic-fastapi,repo family: fastapi ; import statements count: 5 ; camelCase identifiers: getDb ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 4 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style,"['naming_convention', 'unused_import']","['unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'naming_convention']","['unused_import', 'naming_convention', 'naming_convention', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation']","['unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting']","['unused_import', 'naming_convention', 'documentation_formatting', 'indentation']"
synthetic-pandas_PR_29,kannan-dedsec/synthetic-pandas,"repo family: pandas ; import statements count: 7 ; camelCase identifiers: readChunkedCsv, toParquet, toSqlChunked ; mutable-default patterns: 0 ; non-4-space indentation lines: 49 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style","['documentation_formatting', 'indentation', 'naming_convention', 'unused_import']","['documentation_formatting', 'indentation', 'indentation', 'indentation', 'indentation', 'documentation_formatting', 'naming_convention']","['documentation_formatting', 'indentation', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import']","['documentation_formatting', 'indentation', 'indentation', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention']","['documentation_formatting', 'indentation', 'naming_convention', 'unused_import']"
synthetic-flask_PR_21,kannan-dedsec/synthetic-flask,repo family: flask ; import statements count: 8 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 6 ; category hints: unused_import import cleanup dead import | documentation_formatting docstring summary style,['unused_import'],"['unused_import', 'unused_import', 'unused_import', 'unused_import', 'unused_import', 'naming_convention', 'unused_import']","['unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'naming_convention', 'indentation']","['unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting']","['unused_import', 'documentation_formatting', 'naming_convention', 'indentation']"
synthetic-django_PR_38,kannan-dedsec/synthetic-django,repo family: django ; import statements count: 6 ; camelCase identifiers: dMB ; mutable-default patterns: 2 ; non-4-space indentation lines: 0 ; docstring markers count: 8 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 36: Function 'validate_slug_format' uses mutable default for argument 'allowed_chars'. | Line 55: Function 'validate_no_profanity' uses mutable default for argument 'profane_words'.,"['mutable_default', 'unused_import']","['naming_convention', 'naming_convention', 'mutable_default', 'naming_convention', 'mutable_default', 'mutable_default', 'mutable_default']","['naming_convention', 'mutable_default', 'naming_convention', 'mutable_default', 'unused_import', 'documentation_formatting', 'indentation']","['naming_convention', 'mutable_default', 'naming_convention', 'naming_convention', 'mutable_default', 'mutable_default', 'unused_import']","['naming_convention', 'mutable_default', 'unused_import', 'documentation_formatting', 'indentation']"
synthetic-django_PR_23,kannan-dedsec/synthetic-django,repo family: django ; import statements count: 8 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 48 ; docstring markers count: 8 ; category hints: unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,"['documentation_formatting', 'indentation', 'unused_import']","['unused_import', 'indentation', 'indentation', 'unused_import', 'unused_import', 'indentation', 'unused_import']","['unused_import', 'indentation', 'indentation', 'unused_import', 'documentation_formatting', 'naming_convention', 'documentation_formatting']","['unused_import', 'indentation', 'indentation', 'unused_import', 'unused_import', 'indentation', 'documentation_formatting']","['unused_import', 'indentation', 'documentation_formatting', 'naming_convention']"
synthetic-flask_PR_29,kannan-dedsec/synthetic-flask,"repo family: flask ; import statements count: 6 ; camelCase identifiers: basicConfig, getLogger, logRequest, startTime ; mutable-default patterns: 0 ; non-4-space indentation lines: 8 ; docstring markers count: 12 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style","['documentation_formatting', 'indentation', 'naming_convention', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'unused_import', 'naming_convention', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting', 'indentation', 'indentation']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting']","['naming_convention', 'unused_import', 'documentation_formatting', 'indentation']"
synthetic-sklearn_PR_22,kannan-dedsec/synthetic-sklearn,"repo family: scikit-learn ; import statements count: 6 ; camelCase identifiers: dbscanCluster, elbowMethod, kmeansCluster, maxClusters, sampleData, silhouetteAnalysis, silhouetteScores ; mutable-default patterns: 0 ; non-4-space indentation lines: 2 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style",['naming_convention'],"['naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting', 'unused_import']","['naming_convention', 'unused_import', 'documentation_formatting', 'indentation']"
synthetic-fastapi_PR_37,kannan-dedsec/synthetic-fastapi,repo family: fastapi ; import statements count: 5 ; camelCase identifiers: none ; mutable-default patterns: 4 ; non-4-space indentation lines: 0 ; docstring markers count: 18 ; category hints: unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 29: Function 'sample_items' uses mutable default for argument 'sample_items'. | Line 67: Function 'test_get_items' uses mutable default for argument 'sample_items'.,['mutable_default'],"['mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default']","['mutable_default', 'mutable_default', 'unused_import', 'unused_import', 'naming_convention', 'naming_convention']","['mutable_default', 'mutable_default', 'mutable_default', 'unused_import', 'unused_import', 'unused_import', 'naming_convention']","['mutable_default', 'unused_import', 'naming_convention']"
